State, % High school graduate, % Bachelor's degree, % Advanced degree
Alabama,84.3,23.5,8.7
Alaska,92.1,28,10.1
Arizona,86,27.5,10.2
Arkansas,84.8,21.1,7.5
California,81.8,31.4,11.6
Colorado,90.7,38.1,14
Connecticut,89.9,37.6,16.6
Delaware,88.4,30,12.2
Florida,86.9,27.3,9.8
Georgia,85.4,28.8,10.7
Hawaii,91,30.8,10.5
Idaho,89.5,25.9,8.2
Illinois,87.9,32.3,12.4
Indiana,87.8,24.1,8.7
Iowa,91.5,26.7,8.5
Kansas,90.2,31,11
Kentucky,84.2,22.3,9.2
Louisiana,83.4,22.5,7.7
Maine,91.6,29,10.3
Maryland,89.4,37.9,17.3
Massachusetts,89.8,40.5,17.7
Michigan,89.6,26.9,10.5
Minnesota,92.4,33.7,11.2
Mississippi,82.3,20.7,7.7
Missouri,88.4,27.1,10.2
Montana,91.8,29.5,9.5
Nebraska,90.7,29.3,9.7
Nevada,85.1,23,7.9
New Hampshire,92,34.9,13
New Jersey,88.6,36.8,14
New Mexico,84.2,26.3,11.5
New York,85.6,34.2,14.8
North Carolina,85.8,28.4,9.9
North Dakota,91.7,27.7,7.6
Ohio,89.1,26.1,9.7
Oklahoma,86.9,24.1,8
Oregon,89.8,30.8,11.5
Pennsylvania,89.2,28.6,11.2
Rhode Island,86.2,31.9,12.8
South Carolina,85.6,25.8,9.3
South Dakota,90.9,27,8
Tennessee,85.5,24.9,9
Texas,81.9,27.6,9.4
Utah,91.2,31.1,10.4
Vermont,91.8,36,14.3
Virginia,88.3,36.3,15.4
Washington,90.4,32.9,12
West Virginia,85,19.2,7.4
Wisconsin,91,27.8,9.4
Wyoming,92.3,25.7,8.6